date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:00	172861/172861	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d58e314d1c4cfb089b1c526d6842255%22	https://findrealestate.com/_next/static/chunks/1255-d414a3fb6b69e437.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/1255-d414a3fb6b69e437aae6.js	(from https://findrealestate.com/)
14:53:00	572/572	---M--	200	added ('OK')	application/javascript	etag:%220fc1ed37eaa6fb7baefe57842e38a2fb%22	https://findrealestate.com/_next/static/chunks/main-app-b7ac91ae224968d9.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/main-app-b7ac91ae224968d9aae6.js	(from https://findrealestate.com/)
14:53:02	51343/51343	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c55d45ed2f331ebd2c14d9ac1507b30%22	https://findrealestate.com/_next/static/chunks/c15bf2b0-1894ff94ed039d0f.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/c15bf2b0-1894ff94ed039d0faae6.js	(from https://findrealestate.com/)
14:53:03	18735/18735	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f9e8a021114ca37d33aed3c7b2a15250%22	https://findrealestate.com/_next/static/chunks/7605-e8c59d9d93203c75.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/7605-e8c59d9d93203c75aae6.js	(from https://findrealestate.com/)
14:53:04	42938/42938	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253bf2fb6a7a37df54f860a878947aed0%22	https://findrealestate.com/_next/static/chunks/5580-a4808b0cf38336a6.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/5580-a4808b0cf38336a6aae6.js	(from https://findrealestate.com/)
14:53:05	17897/17897	---MCZ	200	added ('OK')	application/javascript	etag:W/%225419a0d20a2b6117a2a7a599aa470b2b%22	https://findrealestate.com/_next/static/chunks/8493-6e256508e0c981dc.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/8493-6e256508e0c981dcaae6.js	(from https://findrealestate.com/)
14:53:06	10837/10837	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226740d84cae6e7e55e6ff13d18a8b70e%22	https://findrealestate.com/_next/static/chunks/268-f5ebced453d17f84.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/268-f5ebced453d17f84aae6.js	(from https://findrealestate.com/)
14:53:07	18711/18711	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e3e0ad9bb22e7b80b262970b291c391c%22	https://findrealestate.com/_next/static/chunks/9933-cee89b6b9ee91d4e.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/9933-cee89b6b9ee91d4eaae6.js	(from https://findrealestate.com/)
14:53:08	9087/9087	---MCZ	200	added ('OK')	application/javascript	etag:W/%22102a66a3022a4d5f49229438dc338a4a%22	https://findrealestate.com/_next/static/chunks/app/layout-43b382a16bd97e81.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/app/layout-43b382a16bd97e81aae6.js	(from https://findrealestate.com/)
14:53:09	7135/7135	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211c6e3fbd1a778b8f0ab502a6c8eee77%22	https://findrealestate.com/_next/static/chunks/5259-15ad81add0dad07a.js?dpl=dpl_3o26Fujqv7yzuHRnsRbvFHergB2i	./mirror/findrealestate.com/_next/static/chunks/5259-15ad81add0dad07aaae6.js	(from https://findrealestate.com/)
